visit,ts,app_state
did_v1_02376C94-AC0E-49CF-9DE3-14642BBF160C.1602424414,1602424416,background
did_v1_02376C94-AC0E-49CF-9DE3-14642BBF160C.1602424414,1602424417,background
did_v1_02376C94-AC0E-49CF-9DE3-14642BBF160C.1602424414,1602424419,foreground
did_v1_02376C94-AC0E-49CF-9DE3-14642BBF160C.1602424414,1602424420,foreground
did_v1_02376C94-AC0E-49CF-9DE3-14642BBF160C.1602424414,1602424420,background
did_v1_02376C94-AC0E-49CF-9DE3-14642BBF160C.1602424414,1602424422,foreground
did_v1_02376C94-AC0E-49CF-9DE3-14642BBF160C.1602424414,1602424423,foreground
did_v1_02376C94-AC0E-49CF-9DE3-14642BBF160C.1602424414,1602424425,foreground
did_v1_02376C94-AC0E-49CF-9DE3-14642BBF160C.1602424414,1602424426,foreground
did_v1_02376C94-AC0E-49CF-9DE3-14642BBF160C.1602424414,1602424428,foreground
did_v1_02376C94-AC0E-49CF-9DE3-14642BBF160C.1602424414,1602424429,background
did_v1_02376C94-AC0E-49CF-9DE3-14642BBF160C.1602424414,1602424429,foreground
did_v1_02376C94-AC0E-49CF-9DE3-14642BBF160C.1602424414,1602424431,foreground
did_v1_02376C94-AC0E-49CF-9DE3-14642BBF160C.1602424414,1602424431,background
did_v1_02376C94-AC0E-49CF-9DE3-14642BBF160C.1602424414,1602424432,background
did_v1_02376C94-AC0E-49CF-9DE3-14642BBF160C.1602424414,1602424435,background
did_v1_03DE844A-98F4-402B-816D-AB91466F765A.1602465671,1602465672,foreground
did_v1_03DE844A-98F4-402B-816D-AB91466F765A.1602465671,1602465673,foreground
did_v1_03DE844A-98F4-402B-816D-AB91466F765A.1602465671,1602465674,foreground
did_v1_03DE844A-98F4-402B-816D-AB91466F765A.1602465671,1602465675,foreground
did_v1_03DE844A-98F4-402B-816D-AB91466F765A.1602465671,1602465679,foreground
did_v1_03DE844A-98F4-402B-816D-AB91466F765A.1602465671,1602465680,foreground
did_v1_03DE844A-98F4-402B-816D-AB91466F765A.1602465671,1602465681,foreground
did_v1_03DE844A-98F4-402B-816D-AB91466F765A.1602465671,1602465683,foreground
did_v1_03DE844A-98F4-402B-816D-AB91466F765A.1602465671,1602465684,foreground
did_v1_03DE844A-98F4-402B-816D-AB91466F765A.1602465671,1602465687,foreground
did_v1_03DE844A-98F4-402B-816D-AB91466F765A.1602465671,1602465689,foreground
did_v1_03DE844A-98F4-402B-816D-AB91466F765A.1602465671,1602465722,foreground
did_v1_03DE844A-98F4-402B-816D-AB91466F765A.1602465671,1602465749,foreground
did_v1_03DE844A-98F4-402B-816D-AB91466F765A.1602465671,1602465752,foreground
did_v1_03DE844A-98F4-402B-816D-AB91466F765A.1602465671,1602465782,foreground
did_v1_03DE844A-98F4-402B-816D-AB91466F765A.1602465671,1602465812,foreground
did_v1_03DE844A-98F4-402B-816D-AB91466F765A.1602465671,1602465842,foreground
did_v1_03DE844A-98F4-402B-816D-AB91466F765A.1602465671,1602465869,foreground
did_v1_03DE844A-98F4-402B-816D-AB91466F765A.1602465671,1602465872,foreground
did_v1_03DE844A-98F4-402B-816D-AB91466F765A.1602465671,1602465944,foreground
did_v1_03DE844A-98F4-402B-816D-AB91466F765A.1602465671,1602465947,foreground
did_v1_03DE844A-98F4-402B-816D-AB91466F765A.1602465671,1602465948,foreground
did_v1_03DE844A-98F4-402B-816D-AB91466F765A.1602465671,1602465949,foreground
did_v1_03DE844A-98F4-402B-816D-AB91466F765A.1602465671,1602465950,foreground
did_v1_03DE844A-98F4-402B-816D-AB91466F765A.1602465671,1602465957,foreground
did_v1_03DE844A-98F4-402B-816D-AB91466F765A.1602465671,1602465987,foreground
did_v1_03DE844A-98F4-402B-816D-AB91466F765A.1602465671,1602466017,foreground
did_v1_03DE844A-98F4-402B-816D-AB91466F765A.1602465671,1602466047,foreground
did_v1_03DE844A-98F4-402B-816D-AB91466F765A.1602465671,1602466057,foreground
did_v1_03DE844A-98F4-402B-816D-AB91466F765A.1602465671,1602466058,foreground
did_v1_03DE844A-98F4-402B-816D-AB91466F765A.1602465671,1602467048,foreground
did_v1_03DE844A-98F4-402B-816D-AB91466F765A.1602465671,1602467049,foreground
did_v1_03DE844A-98F4-402B-816D-AB91466F765A.1602465671,1602467050,foreground
did_v1_03DE844A-98F4-402B-816D-AB91466F765A.1602465671,1602467051,foreground
did_v1_03DE844A-98F4-402B-816D-AB91466F765A.1602465671,1602467052,foreground
did_v1_03DE844A-98F4-402B-816D-AB91466F765A.1602465671,1602467053,foreground
did_v1_03DE844A-98F4-402B-816D-AB91466F765A.1602465671,1602467055,foreground
did_v1_03DE844A-98F4-402B-816D-AB91466F765A.1602465671,1602467063,foreground
did_v1_03DE844A-98F4-402B-816D-AB91466F765A.1602465671,1602467068,foreground
did_v1_03DE844A-98F4-402B-816D-AB91466F765A.1602465671,1602467069,foreground
did_v1_03DE844A-98F4-402B-816D-AB91466F765A.1602465671,1602467074,foreground
did_v1_03DE844A-98F4-402B-816D-AB91466F765A.1602465671,1602467076,foreground
did_v1_03DE844A-98F4-402B-816D-AB91466F765A.1602465671,1602467080,foreground
did_v1_03DE844A-98F4-402B-816D-AB91466F765A.1602465671,1602467081,foreground
did_v1_03DE844A-98F4-402B-816D-AB91466F765A.1602465671,1602467120,foreground
did_v1_03DE844A-98F4-402B-816D-AB91466F765A.1602465671,1602467122,foreground
did_v1_03DE844A-98F4-402B-816D-AB91466F765A.1602465671,1602467123,foreground
did_v1_03DE844A-98F4-402B-816D-AB91466F765A.1602465671,1602467125,foreground
did_v1_03DE844A-98F4-402B-816D-AB91466F765A.1602465671,1602467129,foreground
did_v1_03DE844A-98F4-402B-816D-AB91466F765A.1602465671,1602467130,foreground
did_v1_03DE844A-98F4-402B-816D-AB91466F765A.1602465671,1602467137,foreground
did_v1_03DE844A-98F4-402B-816D-AB91466F765A.1602465671,1602467138,foreground
did_v1_03DE844A-98F4-402B-816D-AB91466F765A.1602465671,1602467141,foreground
did_v1_03DE844A-98F4-402B-816D-AB91466F765A.1602465671,1602467142,foreground
did_v1_063354CF-17BE-4678-96FC-C1B564F4DA35.1602394547,1602398778,
did_v1_063354CF-17BE-4678-96FC-C1B564F4DA35.1602402935,1602398779,
did_v1_063354CF-17BE-4678-96FC-C1B564F4DA35.1602402935,1602402936,
did_v1_063354CF-17BE-4678-96FC-C1B564F4DA35.1602402935,1602402937,
did_v1_063354CF-17BE-4678-96FC-C1B564F4DA35.1602402935,1602402942,
did_v1_063354CF-17BE-4678-96FC-C1B564F4DA35.1602402935,1602402943,
did_v1_063354CF-17BE-4678-96FC-C1B564F4DA35.1602402935,1602402945,
did_v1_063354CF-17BE-4678-96FC-C1B564F4DA35.1602402935,1602402947,
did_v1_063354CF-17BE-4678-96FC-C1B564F4DA35.1602402935,1602402949,
did_v1_063354CF-17BE-4678-96FC-C1B564F4DA35.1602402935,1602402950,
did_v1_063354CF-17BE-4678-96FC-C1B564F4DA35.1602402935,1602402958,
did_v1_063354CF-17BE-4678-96FC-C1B564F4DA35.1602402935,1602402959,
did_v1_063354CF-17BE-4678-96FC-C1B564F4DA35.1602402935,1602402962,
did_v1_063354CF-17BE-4678-96FC-C1B564F4DA35.1602402935,1602402963,
did_v1_063354CF-17BE-4678-96FC-C1B564F4DA35.1602402935,1602402971,
did_v1_063354CF-17BE-4678-96FC-C1B564F4DA35.1602402935,1602402988,
